,Sentences
0,"Well, thank you, Dan, and good morning, everyone"
1,"We're quite proud of the results we've reported this morning, and I think it's a tribute to what we've discussed many times before in terms of our focus on margin, profitability and the very hard work of the men and women that have brought incredible operational efficiencies to this organization"
2,"As you know, our cash flows rose in the quarter, and on a hold-adjusted basis, EBITDA would have been up 10%"
3,"We've guided you, when we talked about the second quarter, to lower gaming revenue, higher non-gaming revenue, and margins that would be up slightly"
4,"We met that guidance and in fact, did better than we expected in terms of profitability and margin as a result of our initiatives"
5,Our margins grew 82 basis points to just over 31% and that was despite the fact that we were down almost 5 percentage points year-over-year in table games hold
6,"On a hold-adjusted basis, as I said cash flows would have been up about 10%, and our margins would have been up over 200 basis points on The Strip alone"
7,CityCenter had another outstanding quarter
8,"Its revenues and cash flows grew 10% and 36% respectively, and our focus on margin has driven our operational efficiencies in every single department in which this company operates"
9,We have achieved this despite the fact that we're investing in the future
10,"As you know, we're dramatically transforming MGM's Monte Carlo property into Park MGM, that's been disruptive and will remain so throughout this year, and despite that, we're very comfortable where we see the Street in terms of earnings for the year"
11,"Regionally, our properties continued to do dramatically outperform their competitors"
12,MGM Detroit had an all-time record in terms of revenue and EBITDA
13,"National Harbor is already the market leader in Maryland and of course Borgata continues to perform at an outstanding rate, and that is a tribute to Tom Ballance, retiring today from Borgata and moving into corporate, and the rest of the great team at Borgata"
14,"Obviously, the results in Macau as a market have been impressive, we are anxiously awaiting the opening of Cotai that will help us dramatically"
15,That resort opens in a couple of months
16,Grant will talk more about it
17,"But suffice to say that it would help not only drive more business to our MGM property on the Peninsula, but we believe it will be very dynamic and it's very successful in Cotai"
18,"We've had a very strong year this year in Las Vegas, both in the first and in the second quarter"
19,"We just had another record at McCarran Airport in June, and the company has focused on maximizing the opportunities that are in front of us"
20,And that means maximizing the revenue per occupied room in all of our resorts
21,That is the reason why our margins were up more than we expected
22,"It's also the reason why RevPAR was below what our guidance was, as we consciously moved some occupancy away from higher ADR, but lower revenue per total occupied room into different channels, which resulted as you can see in higher profitability and higher margin, we expect that going forward"
23,We see a very good third quarter underway
24,"We have many challenges in the quarter because of a huge citywide convention quarter last year, and we held very well as we indicated in the third quarter of 2016, but despite that because we have an epic fight coming up in a couple of weeks and because we have good business on the books, we expect to see profitability increase again and margins also increase again"
25,"We believe that going forward, that the second half of the year will remain strong and that we will continue to be able to improve our profitability and margins, and in fact we are raising our margin guidance from what we have said earlier because we see more opportunities to increase margin going forward, already the industry-leading margin and certainly here in Las Vegas"
26,"This could be the second biggest fight of all time and it will certainly drive millions of people to watch Las Vegas, watch T-Mobile, and watch Mayweather and McGregor"
27,We intend to maximize every $0.01 of profitability opportunity there
28,and we're working very hard to accomplish that
29,I think we will be very successful
30,"We've a lot to look forward to in the second half of the year, not only the opening of Cotai in the fourth quarter but the improvements that we're taking to all of our operations, which we see as accelerating our margin"
31,"We're running this company for cash flow and if that has not been clear in the past, certainly was in this quarter and we will continue to do so going forward because we believe that's the best way to drive value to our shareholders"
32,and we intend to continue to be competitive in the marketplace when we find opportunities on the horizon
33,and I think the opportunity currently on the horizon is Japan where I would say that we are one of the leaders in terms of contenders in that marketplace
34,I have to say that I'm proud of what we've done
35,But I believe that our best days are ahead of us and what we see today is more confidence in our business than we've seen in the last ten years
36,"So with that, I'd like to turn it over to the operator, so we get to your questions"
37,Question-and-Answer Session
38,"Sure Joe, it's almost exclusively business decisions that we're making here"
39,It does not reflect at all the health of the market and certainly does not reflect our perspective of the market in the second half of the year
40,"When we started PGP, we were focused on many of the non-hotel areas where we could drive margin profitability, not only in terms of table games margins and overall casino margins, but in our non-gaming areas in terms of driving margin there"
41,The hotel divisions of many of these resorts including ours have been run more independently and have been focused on driving RevPAR
42,We know that that's not the right approach in a casino hotel environment
43,That's not how you drive profitability
44,No one here in this room that I'm aware of is bonused on RevPAR
45,We're bonused on profits
46,We made a decision when we moved from PGP to continuous improvement to dig in more on our hotel yielding and do it more holistically
47,We actually started that in the beginning of the year
48,"It had a minimal impact on the first quarter, because we had such a strong convention calendar in the first quarter"
49,"It had more of an impact in terms of RevPAR in the second quarter, but we drove more profitability throughout the resorts in the second quarter"
50,That's why revenue per occupied room in the second quarter was actually up over 5%
51,That's the important metric
52,"In terms of looking forward, we feel very strongly, and we know this business pretty well, the way to drive increased margin and increased profitability is the yield total resort from a standpoint of driving revenue into the resort, and that will have a dampening impact on RevPAR, and that's okay because we're trying to drive more profits"
53,"The only macro point I would say in the quarter was a little bit of a weakness, a little bit of softness in the early part of June"
54,"It was literally like a two-week period of time, and it bounced back right at the end of the month"
55,"But really that had minimal impact, and also we probably underestimated the impact of the disruption at Monte Carlo a little bit, but these are just fringe things, it's not the overall point"
56,"I think the overall point is, on RevPAR as we're talking about it, a 1% difference in RevPAR"
57,"So in other words, instead of if we did 2.2% instead of 1.2% for our portfolio"
58,A 1% delta is only $2 million of profit
59,A 1% increase in our margin just on The Strip is $14 million
60,"We made a decision which we'll continue to make to focus on profitability and margin, and that really was the total story in terms of RevPAR in the second quarter, and the reason why we want people to be more focused on this in the third and fourth quarters"
61,"We're going to have a good third quarter, very strong despite the big city-wides that we saw last year and a 10% increase in RevPAR that we had last year"
62,"And we're going to have that because of a Mayweather-McGregor fight, a GGG-Canelo fight and some good convention business"
63,"But more importantly, I think we're going to be able to drive margins in the third quarter more than we had predicted when we began the year"
64,"Grant, could you tackle that?"
65,"So just adjust just for Monte Carlo, RevPAR would have been 1.8%"
66,No
67,"No, we had predicted what we have in terms of resort fees in that number and in our prior guidance"
68,Really the difference is Monte Carlo being a little tougher than we thought and a very short period of time in June
69,But I really want to emphasize the fact that we're moving away in Micah's team and our hotel yield team away from focusing on maximizing RevPAR
70,"We've all known about this, both the sell-side, the buy-side, us at management, that that's not really the best way of running our business"
71,"But we didn't have the tools frankly, Felicia, earlier in our process until this year in terms of analytics, in terms of intelligence to yield these resorts in a more holistic way"
72,And that's a manifestation of continuous improvement
73,"We have people doing this now that we didn't have before, hired from other companies"
74,"And it will have a impact on total revenue per occupied room in a very positive way, we think"
75,"On the business side, Felicia, we see convention partners changing somewhat their convention practices"
76,"For example, some of the larger companies are consolidating some conventions"
77,They might have five in a given year of a certain size and they're consolidating them down to three or four
