,Sentences
0,"Thanks, Teri, and good morning, everyone"
1,"As announced earlier today, Garmin recorded first quarter consolidated revenue of $639 million, up 2% over the prior year"
2,"Marine, outdoor, aviation and fitness collectively increased 12% year-over-year and contributed 75% of total revenues"
3,Gross margin improved to 58.3% as both segment and product mix were favorable
4,"As a result of our increased revenues and gross margins, our operating margin improved to 18.2%, while operating income increased 12%"
5,"This resulted in GAAP EPS of $1.26, which includes a significant income tax benefit recognized during the quarter"
6,Pro forma EPS which excludes this benefit grew 7% to $0.52 in the quarter
7,"We are pleased with our first quarter results, which delivered growth in revenue, profits and earnings"
8,"However, since Q1 represents the lowest seasonal quarter of our financial year, we are maintaining the guidance issued in February"
9,Doug will discuss our financial results in greater detail in a few minutes
10,"But first, I'd like to provide a few brief remarks on the performance of each business segment"
11,"Starting with marine, revenue grew 26%, ahead of the overall market resulting in market share gains"
12,All major product categories performed well
13,"Gross margin improved to 57% while operating margin improved to 17%, resulting in operating income growth of 76% over the prior year"
14,Marine season is in full swing and we have seen strong demand for our latest product offerings
15,We started shipping our new GPSMAP chartplotters early in the season and the feedback from customers has been very positive
16,"Looking forward, we remain focused on gaining market share through innovations that will clearly differentiate us in the market"
17,"Looking next at outdoor, revenue increased 20% on strong demand for outdoor wearables"
18,"The segment continue to generate strong gross margin and operating margin of 63% and 30%, respectively, while operating income grew 24% over the prior year"
19,We began shipping the highly anticipated fÄ“nix 5 adventure watch series late in the quarter
20,Orders have been very strong and we expect that it will take several weeks to catch up with demand
21,"We also recently hosted our first Connect IQ Developer Summit, bringing together application developers and business partners to participate in hands-on workshops and breakout sessions with our product managers and engineers"
22,"At the event, we announced new capabilities for Connect IQ, including the ability for app developers to implement a revenue model"
23,"We also announced new integration partners including SmartThings, which gives us a strong presence in the emerging home automation market"
24,"Turning next to aviation, we reported solid revenue growth of 16%, driven by growth in aftermarket products and led by strong growth related to our ADS-B offerings"
25,"Gross and operating margins remained strong at 74% and 31%, respectively, resulting in operating income growth of 27% over the prior year"
26,"During the quarter, we started shipments of the G1000 NXi, the next generation integrated flight deck featuring wireless connectivity and enhanced safety features"
27,"We received European certification for the GTX 345, expanding the addressable market for this popular ADS-B transponder"
28,"In addition, we continue to support our OEM partners in the development and certification of new aircraft and helicopter platforms"
29,"Much has been said about the challenging market conditions, which remain a factor"
30,"However, we continue to believe that market share gains and new platforms provide opportunities for long-term growth"
31,"Looking next at fitness, revenue declined 3% driven by the rapidly maturing market for basic activity trackers, especially those which lack GPS capability"
32,"Despite this challenge, we are very pleased with the performance of advanced wearables with GPS capability, which experience robust growth during the quarter and nearly offset the steep decline of basic activity trackers"
33,Gross margin increased to 56% as product mix shifted to the higher-margin devices
34,"Operating margin increased to 13%, resulting in operating income growth of 11%"
35,"During the quarter, we launched the Forerunner 935, which is our most advanced multisport watch with new running dynamics features and enhanced performance and recovery monitoring"
36,"We also introduced our latest vÃ­vosmart 3, an ultra-slim smart activity tracker with wrist based heart rate and an innovative stress tracking feature"
37,"While we continue to see the market for basic activity trackers mature, we also see growth opportunities in advanced wearables with GPS, and we are confident in our product roadmap going forward"
38,"Looking finally at the auto segment, revenues were down 19% in the quarter due to the ongoing decline of the PND market and partially offset by growth in our Auto OEM product lines"
39,"Gross margin was 44%, which is consistent year-over-year while operating margin declined to 4%"
40,"During the quarter, we began shipping our next generation Drive family of PND devices, which has wireless connectivity and enhanced driver alerts"
