,Sentences
0,"Good afternoon, everyone"
1,Thank you for joining us today
2,"I am very pleased to report another strong quarter with revenue above the midpoint of our guidance range and gross margin, operating margin, and earnings per share all above our guidance"
3,We saw a solid demand environment in all geographies and strong customer interest in our industry-leading solutions
4,I am proud of our continued progress in transforming NetApp to deliver sustained profitable growth
5,Our strong performance reflects our customers' commitment to NetApp and their clear and growing preference for the value of our Data Fabric strategy
6,We are undoubtedly out executing our competition on all fronts
7,"In the second quarter, we launched innovative new products and grew our business in new areas"
8,It's been particularly exciting to see our cloud strategy pay off with our expanded relationship with Microsoft Azure and the industry's first Azure enterprise NFS service
9,"In the new era of IT, driven by digital transformation and defined by the ubiquitous hybrid clouds, IoT and machine learning, NetApp is uniquely positioned as the leader in helping organizations liberate and unleash their data for maximum business impact"
10,"We enable customers to meet the exponential data growth of the digital era where they must manage a complex hybrid world with data in the data center, the cloud and in edge computing, and externally linked applications and platforms"
11,"Unlike competitors' approaches, which are siloed and do not embrace the cloud, we help organizations unify their data across the widest range of cloud and on-premises environments to realize its full value for competitive advantage"
12,"Data is at the heart of company's digital transformation, and we are winning because we are enabling customers' success through data"
13,"No one matches our expertise in data management, our leadership in growing market segments and our open ecosystem approach"
14,"Our advantage is the result of decades of software-based innovation, strategic focus and the ability to partner effectively"
15,"Before giving you an update on the set of strategic solutions that are tightly aligned to customers' IT imperatives, I want to give a brief update on the dynamics in our mature solutions"
16,"Consistent with our plan, the headwinds for mature solutions continue to lessen"
17,"In the second quarter, product revenue from mature solutions declined 3% year-over-year"
18,The transition from 7-mode to Clustered ONTAP is behind us
19,"Our add-on hardware business is growing, and we have a renewed focus on hardware and software OEM opportunities"
20,"In the coming quarters, the headwinds for mature solutions could abate and could possibly provide some support for additional top line growth"
21,"As a part of our transformation, we have aligned tightly to our customers' IT imperatives as they harness the power of cloud, build next-generation data centers and modernize their existing storage infrastructure"
22,This has resulted in a differentiated strategic solutions portfolio focused on the growth areas of the market
23,And we continue to bring innovative solutions to more customers in more ways
24,"As I noted last quarter, we have already transitioned our business away from the declining segments to the data-driven high-growth segments of all-flash arrays, converged and hyper-converged infrastructure and hybrid cloud"
25,"The success of our strategic direction is evident in the continued momentum in our strategic solutions, which were 69% of net product revenue in Q2, up 23% year-over-year"
26,Customers are moving to all-flash arrays as they modernize existing data centers and build next-generation data centers to lower total cost of ownership while gaining greater speed and responsiveness from key business applications
27,This shift creates enormous new opportunity for us as we penetrate our installed base and displace competitors' equipment with our cloud-integrated all-flash solution
28,"We continue to substantially outpace the growth of the all-flash array market and competitors, both large and small"
29,"In Q2, our all-flash array business, inclusive of All-Flash FAS, EF and SolidFire products and services, grew about 60% year-over-year to an annualized net revenue run rate of $1.7 billion"
30,Our strength in flash is also driving our success in SAN and converged infrastructure markets
31,Our clustered storage solutions have substantial and structural technological advantages over competitors' SAN products
32,"This is enabling us to gain share in the SAN market, both in new customer acquisitions and in greater share of wallet within existing customers as we displace legacy competitive SAN installations"
