,Sentences
0,"Thanks, Dhivya, and good morning, everybody"
1,Thanks for joining
2,The results we are reporting today on a continuing operations basis demonstrate our commitment to extending our strong core business performance while redefining the future of personal mobility
3,"Taking a look at the numbers we posted, EBIT adjusted is $2.5 billion"
4,"Year-to-date, EBIT adjusted is $9.8 billion with a margin of 9%"
5,And our EPS diluted adjusted is $1.32.
6,We returned $2 billion in cash to shareholders through share repurchases and dividends and our return on invested capital adjusted is 27.6% on a trailing four quarter basis
7,We delivered solid results even with planned lower third quarter production in North America
8,"Although market is more challenging than expected, we will deliver another strong year"
9,Chuck will share additional details in regional numbers in a few minutes
10,Our work to strengthen the business and focus on areas with higher shareholder return continued with the closing of the sale of our Opel-Vauxhall business
11,We expect to close the sale of GM Financial's European operations by the end of the year
12,"In addition to the international operations restructuring we previously announced, earlier this month we shared that we will combine all GM operations outside of China and North America under Barry Engle, effective 01/01/2018."
13,This allows us to realize greater efficiencies and supports our disciplined plan to operate in the right markets to strengthen our performance and to focus on long-term growth opportunities
14,"From a product and brand standpoint, customers are responding favorably to our new vehicle launches"
15,"In the United States, retail sales of crossovers from our Chevrolet, GMC, Buick and Cadillac brands were up 25% year-over-year for our best crossover sales quarter in history"
16,The second generation of the 2018 Buick Enclave is arriving at dealership
17,"It builds on the success of its predecessor and ushers in Avenir, Buick's new upscale sub brand"
18,We have high expectations for Avenir as it joins Denali GMC's premium sub-brand in our Buick GMC retail channel
19,Denali makes up more than a quarter of GMC's overall sales and generates higher margins and average transaction prices
20,Avenir and Denali will offer our customers attainable luxury from our premium brands
21,Also arriving at U.S
22,"dealerships is the 2018 Cadillac CT6 with Super Cruise, hands-free highway driving technology"
23,Journalists and influencers recently traveled coast-to-coast to demonstrate its capability with overwhelmingly positive reviews
24,Super Cruise will also launch in China next year on the CT6.
25,"Sales in China are tracking at a record pace, led by the growth at China â€“ or excuse me at Cadillac and Baojun"
26,"To continue this momentum, we launched five new models in the quarter, including the Baojun E100 EV"
27,This is a niche build-to-order electric vehicle from our JV partner SGMW
28,We plan to launch six additional models in Q4.
29,"Last month in Shanghai, I helped celebrate our 20-year joint venture with SAIC GM and the production of our 15 millionth vehicle"
30,It was an important milestones representing a productive partnership in our largest market
31,"And in South America, we are now gaining market share and making money in an industry still significantly depressed from prior high levels"
32,"Now, I'd like to talk about the future of personal mobility"
33,We all know the industry is changing very quickly
34,"By staying focused and disciplined, we have repositioned our core business to be more resilient through the cycle"
35,"and we have made key investments that will help us create a safer, better and more sustainable world and a healthy business model well into the future"
36,We believe our future mobility initiatives will be accretive to our core business because they give us an opportunity to increase our exposure to new customers in urban centers and coastal markets
37,"At the same time, our core operations will continue to generate strong profits in the markets that will be the last impacted by these new mobility trends"
38,"Regardless of where we do business, we are committed to an all-electric future, and we have announced plans for at least 20 new all-electric vehicles by 2023, including two in the next 18 months"
39,"We've already done a lot of the hard work, investment and innovation necessary to meet this commitment"
40,"Our extensive track record with electrification, including what we have learned from the Chevrolet Volt and the Chevrolet Volt EV along with strong supplier partnerships and mass market EV manufacturing experience give us confidence that this portfolio puts us on a path to a new profitable generation of electric vehicles"
41,We will pursue both battery electric and hydrogen fuel cell technology because we will need both for solutions to meet all of our customers' transportation needs
42,"For example, we revealed a new autonomous capable hydrogen fuel cell platform called the Silent Utility Rover Universal Superstructure or as we refer to here SURUS"
43,It was designed to provide commercial vehicle solutions including flexible cargo delivery and utility services
44,"But its ability to solve tough transportation challenges created by natural disasters, complex logistic environments and global conflict also make it adaptable for military use"
45,I'm also pleased with the progress our team is making on self-driving vehicle technology
46,GM and Cruise Automation recently deployed our latest generation self-driving electric test vehicle
47,We believe it will meet the redundancy and safety requirements necessary to operate without a driver
48,It is our third generation of AD technology in just 14 months
