,Sentences
0,"Good morning, everyone, and thank you for joining us on the call today as we review our second quarter results and our increased outlook for 2017."
1,"As today's release illustrates, we had strong results this quarter, operationally and financially"
2,"Our strong year to date financial performance also enabled us to increase our full year 2017 guidance for sales, operating profit, and earnings per share"
3,These results reflect a high level of execution being achieved across our businesses in providing critical products and services to our customers while returning outstanding value to stockholders
4,It is particularly noteworthy that our quarterly cash flows exceeded last year's second quarter by nearly $200 million when we adjust for the $125 million of IS&GS cash that was included in the 2016 results
5,"Our team continues to progress toward our full year objective in growth in sales, EPS, and cash from operations, and I thank our team for their dedication to our mission"
6,Chris will cover the financial results in detail a little later
7,"However, I want to touch on two events which occurred after our accounting quarter closed that point to the strength of our portfolio and the significant growth opportunities they provide"
8,"First, in our Rotary and Mission Systems business area, our Sikorsky line of business secured a $3.8 billion, five year contract for 257 Black Hawk helicopters to be delivered to the US Army, as well as to the Saudi Arabian National Guard"
9,"This award marks Sikorskyâ€™s ninth multiple year contract with the US government and includes options for an additional 103 aircraft, bringing the potential value to over $5 billion"
10,We are honored to have the opportunity to continue providing rotary aircraft in support of the important missions of the US Army and our international customer
11,"Second, our Aeronautics business area received an F-35 award on LRIP 11, which includes funding for 74 US jets and totaled nearly $5.6 billion"
12,"This brings the total quantity of US aircraft authorized for LRIP 11 to 91 planes, a growth of 36 fighter jets from LRIP 10 US government order, and represents a 65% increase from the prior lot"
13,"We anticipate a separate order - a separate award later this quarter, which will add additional aircraft for our international F-35 partners and foreign military sales customers"
14,"The recent US award demonstrates continued evidence of the strong support the F-35 has earned, and we look forward to finalizing these contracts as we progress to full rate production"
15,"Turning briefly to Defense budgets, the FY17 DOD budget appropriations have been enacted and were consistent with the bipartisan budget agreement of 2015, bringing Defense Department base budget funding to approximately $524 billion, as well as overseas contingency operations funding to about $83 billion"
16,"Weâ€™re pleased to see that our programs continue to be well supported, as seen by the legislation increasing F-35 aircraft and Black Hawk helicopter quantities"
17,"The higher levels for both the base and OCO budgets, reflect a growing level of bipartisan recognition of rising global security threats and the need for additional budget resources"
18,The additional funding for FY17 will help begin to address some of the acute budget needs to recapitalize our defense assets and respond to the global security environment
19,"Also, the president released his request for the FY18 DOD budget"
20,"This included $574 billion for the base budget, an increase of nearly 10% from the FY17 appropriations and 3% from the prior presidential base budget submission"
21,"Additionally, both the House and Senate Armed Services Committees, have released their fiscal year â€™18 National Defense Authorization Act markups, both of which greatly exceeded the president's request"
22,And the House has since passed their version by a wide margin
23,"While we recognize - while we realize that these proposals exceed the current budget caps, we are encouraged to see the recognition that our defense budgets require increased levels of funding"
24,We are hopeful that bipartisan agreement can be reached to rescind or modify the budget caps and fund our military at the levels needed to address the current set of world threats
25,"Moving on, I'd like to highlight several operational successes we achieved on our F-35 program, and then briefly comment on the recent historic announcements from the US and Kingdom of Saudi Arabia governments to bolster global security"
26,The program featured two milestones that highlight the growing international nature of the Joint Strike Fighter
27,"The first Japanese assembled F-35A conventional takeoff and landing variant, was unveiled at the Final Assembly and Checkout or FACO facility in Nagoya, Japan"
28,This aircraft marks the first of nearly 40 jets that will be produced for the Japanese Ministry of Defense at this location
29,"Similarly, the first F-35B variant to be assembled outside the United States, was rolled out in Italy from the Cameri FACO facility"
30,Cameri has already delivered multiple F-35A versions and is slated to produce over 100 aircraft in total
31,"Together, these two events underscore the benefits of the multinational partnerships that have been forged as we work to provide fifth generation capabilities to both US and coalition forces"
32,"Keeping with the F-35 program, we were also proud to spotlight our F-35A at the Paris Air Show last month"
33,"The CTOL variant performed its inaugural aerial demonstration, showcasing its aerobatic maneuvering and the jetâ€™s raw power to climb and run"
34,"I watched, along with the rest of the amazed crowd, at the Le Bourget Airport as the aircraft flawlessly executed 90 degree climbs, remarkable angle of attack displays, and several unique moves that only a fifth generation fighter could accomplish, all of which shine a bright light on the impressive capabilities this unrivaled stealth fighter provides"
