,Sentences
0,"Thanks, Shawn"
1,We had a strong start to the year
2,"Highlighting our record first quarter was a near tripling of data center revenue, reflecting surging interest in artificial intelligence"
3,"Overall, quarterly revenue reached $1.94 billion, up 48% from the year earlier, down 11% sequentially and above our outlook of $1.9 billion"
4,"Growth remained broad-based, with year-on-year gains in each of our four platforms, gaming, professional visualization, data center, and automotive"
5,"From a reporting segment perspective, Q1 GPU revenue grew 45% to $1.56 billion from a year earlier, and Tegra processor revenue more than doubled to $332 million"
6,And we recognized the remaining $43 million in revenue from our Intel agreement
7,Let's start with our gaming platforms
8,"Gaming revenue in the first quarter was $1.03 billion, up 49% year on year"
9,"Gamers continue to show great interest in the Pascal-based GPUs, including gaming notebooks"
10,Our Tegra gaming platform also did extremely well
11,"Demand remained healthy for our enthusiast class GeForce GTX 1080 GPU, introduced nearly a year ago"
12,"It was complemented this past quarter with the GTX 1080 Ti, which runs 35% faster and was launched at the annual Game Developers Conference in San Francisco"
13,The GTX 1080
14,Ti is designed to handle the demands of 4K gaming and high-end VR experiences
15,"Typical of many supportive reviews, Ars Technica stated it is undoubtedly a fantastic piece of engineering, cool, quiet, and without rival"
16,Those that demand the absolute very best in cutting-edge graphics need look no further
17,"We also released the next generation of our TITAN-class product, the TITAN Xp, designed for enthusiasts and researchers who demand extreme performance"
18,Gaming continues to be driven by the headlong growth in e-sports
19,"The newest title, Overwatch, added 30 million gamers in its first year"
20,"GeForce was the graphics platform of choice at all the top e-sports tournaments, including the finals of the big four international competitions"
21,"With apologies to the start of the baseball season, e-sports is now as popular among U.S"
22,male millennials as America's favorite pastime
23,"More people watch gaming than HBO, Netflix, ESPN, and Hulu combined"
24,"GeForce sales remained underpinned by the steady stream of AAA titles coming onto market, which continued to push for more chip GPU performance"
25,"In the months ahead, we'll see a series of highly anticipated blockbuster titles"
26,"Among them are Destiny 2 coming to the PC for the first time, Star Wars Battlefront II, Shadow of War, and the next installment of the Call of Duty franchise, World War II"
27,We are excited to be working within Nintendo on its acclaimed Switch gaming system
28,Great reviews and reports of the system selling out in many geographies are a strong part of this platform
29,"Moving to professional visualization, Quadro revenue grew to $205 million, up 8% from a year ago, amid continued demand for high-end real-time rendering and more powerful mobile workstations"
30,"We are seeing significant increase in professional VR solutions, driven by Quadro P6000 GPUs"
31,Lockheed Martin is deploying Quadro to create realistic VR walk-throughs of the U.S
32,Navy's most advanced ships
33,The Marines utilize VR to train air crew personnel
34,"And IKEA is rolling out VR to many of its stores, helping consumers configure their kitchens from a huge array of options, which they can visualize in sharp detail"
35,"Next, data center, record revenue of $409 million was nearly triple that of a year ago"
36,The 38% rise from Q4 marked its seventh consecutive quarter of sequential improvement
37,"Driving growth was demand from cloud service providers and enterprises building training clusters for web services, plus strong gains in high-performance computing, GRID graphics virtualization, and our DGX-1 AI super-computer"
38,"AI has quickly emerged as the single most powerful force in technology, and at the center of AI are NVIDIA GPUs"
39,"All of the world's major Internet and cloud service providers now use NVIDIA Tesla-based GPU accelerators, AWS, Facebook, Google, IBM, and Microsoft as well as Alibaba, Baidu, and Tencent"
40,We also announced that Microsoft is bringing NVIDIA Tesla P100 and P40 GPUs to its Azure cloud
41,"Organizations are increasingly building out AI-enabled applications using training clusters, evident in part by growing demand for DGX-1."
42,We are seeing a number of significant deals
43,"Among them are Fujitsu's installment of 24 systems integrated into an AI supercomputer for RIKEN, Japan's largest research center, as well as new supercomputers at Oxford University, GE, and Audi"
44,"Working with Facebook, we announced the launch of the Caffe2 deep learning framework as well as Big Basin servers with Tesla P100 GPUs"
45,"To help meet huge demand for expertise in the field of AI, we announced earlier today plans to train 100 people this year through the NVIDIA Deep Learning Institute, representing a 10x increase from last year"
46,"Through onsite training, public events, and online courses, DLI provides practical training on the tools of AI to developers, data scientists, and researchers"
47,"Our HPC business doubled year on year, driven by the adoption of Tesla GPUs into supercomputing centers worldwide"
48,"The use of AI and accelerated computing in HPC is driving additional demand in governance intelligence, higher education research, and finance"
49,"Our GRID graphics virtualization business more than tripled, driven by growth in business services, education, and automotive"
50,Intuit's latest TurboTax release deploys GRID to connect tax filers seeking real-time advice with CPAs
51,And Honda is using GRID to bring together engineering and design teams based in different countries
52,"Finally, automotive, revenue grew to a record $140 million, up 24% year over year and 9% sequentially, primarily from infotainment modules"
53,We are continuing to expand our partnerships with companies using AI to address the complex problems of autonomous driving
54,"Since our DRIVE PX 2 AI car platform began shipping just one year ago, more than 225 car and truck makers, suppliers, research organizations, and startups have begun developing with it"
55,"That number has grown by more than 50% in the past quarter alone, the result of the platform's enhanced processing power and the introduction of Tensor RT for its in-vehicle AI inferencing"
56,"This quarter, we announced two important partnerships"
57,"Bosch, the world's largest auto supplier, which does business all over the world's carmakers, is working to create a new AI self-driving car computer based on our Xavier platform"
58,"And PACCAR, one of the largest truck makers, is developing self-driving solutions for Peterbilt, Kenworth, and DAF"
59,We continue to view AI as the only solution for autonomous driving
60,"The nearly infinite range of road conditions, traffic patterns, and unexpected events are impossible to anticipate with hand-coded software or computer vision alone"
61,"We expect our DRIVE PX 2 AI platform to be capable of delivering Level 3 autonomy for cars, trucks, and shuttles by the end of the year, with Level 4 autonomy moving into production by the end of 2018."
62,"Now turning to the rest of the Q1 income statement, GAAP and non-GAAP gross margins for the first quarter were 59.4% and 59.6% respectively, reflecting the decline in Intel licensing revenue"
63,Q1 GAAP operating expenses were $596 million
