,Sentences
0,"Good morning, everyone"
1,"Earlier today, we announced record first quarter results of $0.44 per share, up 2% from last year"
2,Sales for the quarter were down 1% on a 2% decrease in volume
3,Adjusted sales grew 3% while adjusted volume grew 5%
4,"For the quarter, three of our five segments reported earnings growth"
5,"Refrigerated Foods, International, and Grocery Products grew earnings, while Specialty Products earnings were flat"
6,Jennie-O Turkey Store had a difficult quarter versus last year with earnings down 25%
7,Sales were up 13% and volume was up 22% compared to last year
8,Segment profit margins declined from over 24% in the first quarter last year to 16% this year
9,"As a reminder, last year, we made dramatic shifts to product mix and cut operating expenses as we managed through avian influenza and a substantial decrease in volume through our system"
10,"As we communicated during our fourth quarter call, we knew the first half of the year faced difficult earnings comparisons"
11,"However, the erosion in market conditions was deeper and faster than we expected"
12,"Three main issues affected Jennie-O Turkey Store's profitability this quarter: declining turkey prices, increased expenses and increased competition"
13,"We can handle any one of these issues during a given quarter or year, but all three factors in the same quarter created a difficult operating environment that we did not expect"
14,"First, turkey prices such as breast meat have fallen over 60% year-over-year to seven year lows, which were much lower than we expected"
15,"Jim Sheehan will discuss our outlook for key commodities, but given the industry, now appears to be in an oversupply situation"
16,We do not see near-term relief on commodity prices which will pressure our pricing in the marketplace
17,"Second, we incurred higher operating expenses primarily for bio-security measures in our live production system and lower yields in our plant operations"
18,"We will continue to make investments throughout our business, including additional investments in bio-security to protect our business from an avian influenza outbreak"
19,"Third, as we have addressed in the past, competing proteins continue to pressure our business in addition to increased competitive pressure"
20,"We experienced this across all three sales divisions; foodservice, retail and deli"
21,The team at Jennie-O Turkey Store is taking the appropriate actions to address near-term operating conditions and challenges
22,We remain very optimistic about the demand for JENNIE-O branded products
23,We have improved similar turkey commodity cycles before and we always emerge in a stronger position
24,"We will continue to support the brand, deliver innovative new items and invest in the business"
25,Refrigerated Foods had another strong quarter
26,"First quarter operating profit increased 4%, with sales and volume down 3%"
27,"As previously announced, we completed the divestiture of the Farmer John business on January 3, 2017."
28,"Excluding the divesture, adjusted sales were down 1% while adjusted volume was flat"
29,Refrigerated Foods continues to benefit from growth in both retail and foodservice value-added products
30,"In foodservice, innovative items such as Hormel BACON 1 fully cooked bacon and Hormel Fire Braised meats delivered solid growth"
31,"In our retail business, items such as Applegate bacon and breakfast sausage, Hormel Gatherings party trays, and Hormel Natural Choice meats delivered very nice growth"
32,International operating profits increased 5% while sales decreased 2%
33,Our fresh pork exports during the quarter were very strong
34,"We did experience a temporary slowdown in our branded export business due to changes in import regulations in certain countries, which have since been resolved"
35,Our SKIPPY business in China performed well while our meat business in China continues to experience high pork raw material prices
36,Specialty Foods operating profit was flat while sales declined 19% and volume declined 30%
37,"Excluding the divestiture of Diamond Crystal Brands, adjusted sales were up 10% while adjusted volume was up 12%"
38,"CytoSport posted growth this quarter, driven by our success in the food, drug, mass, and convenience channels in addition to growth in CytoSport powders"
39,Innovative new items such as Muscle Milk bars and Muscle Milk yogurt smoothies continued to perform well
40,We saw strong sales growth once again in Grocery Products
41,Sales were up 7% with volume up 4%
42,Adjusted sales grew 3% while adjusted volume grew 2%
43,"The addition of Justin's specialty nut butters and strong sales from brands such as Wholly Guacamole, Herdez, and SKIPPY all contributed to sales and volume growth"
44,"We completed the integration of the Justin's business during the quarter, and the business is on track to meet our valuation expectations"
45,Segment profit for Grocery Products was up 1%
46,"As we look to the remainder of 2017, the balanced model we have intentionally built in our business will allow us to overcome the challenges at Jennie-O Turkey Store"
47,We expect Refrigerated Foods results to be better than we projected for the remaining three quarters
48,"We see continued growth in many of our brands across both retail and foodservice, such as Hormel Natural Choice, Hormel Gatherings, Hormel Pepperoni,"
49,"Hormel BACON 1 fully-cooked bacon, and Hormel Fire Braised meats"
50,"Grocery Products will continue to build momentum, especially in the back half of the year"
51,"We continue to see sales growth aided by product lines such as SKIPPY peanut butter, Justin's specialty nut butters, and our Mexican Foods portfolio"
