,Sentences
0,"Thanks, Mark"
1,"The third quarter exceeded our expectations with revenue $16.1 billion, which is $400 million better than our outlook"
2,Operating income of $5.6 billion was more than $700 million better than our outlook
3,"Our data-centric businesses grew 15% year over year, reaching 45% of our revenue, proving that Intel is becoming a data-centric company"
4,The fiscal discipline that Bob and I have talked about is delivering results even faster than we had forecasted while simultaneously allowing us to focus more on innovation in our key growth segments
5,Revenue grew 2% or 6% after adjusting for the McAfee transaction
6,"Operating income grew 8% and earnings per share grew 26%, both reaching all-time records"
7,"Add it all together, and this was a remarkable quarter in what is shaping up to be a remarkable year"
8,Our strategy is to be the driving force of the data revolution across technologies and industries
9,Our data-centric businesses are the company's growth engine
10,"Individually, these businesses provide great value to our customers"
11,"Collectively, they're solving our customers' problems in a way that no individual business or product could"
12,We've built a collection of capabilities that is unmatched
13,"At the same time, our PC business remains central to our success"
14,"It's a source of great profit, cash flow, scale, and intellectual property"
15,"We've made great progress in both our data-centric and PC-centric businesses over the last few months, and I'll share a few important milestones that illustrate that progress"
16,"We're going to start with CCG [Client Computing Group], which produced exceptional results despite a declining PC TAM"
17,"PC market conditions continued to improve, and we achieved record Core i5 plus Core i7 client mix"
18,"Our focus on an annual beat rate of innovation and thoughtful segmentation combined with an investment strategy designed to produce results, even in a declining market, is paying off"
19,"We're especially excited about the launch of our latest 8th Generation Core processor, code named Coffee Lake"
20,The Coffee Lake family includes our first six-core desktop CPU.
21,"And it's our best gaming processor to date, with up to 50% better performance than the competition on top game titles"
22,We're on track to ship our first low-volume 10-nanometer part by the end of the year
23,"That will be followed by the initial ramp in the first half of 2018, with both high volume and system availability in the second half of 2018."
24,"We shipped our first modem into the auto industry, and our modem revenue was up 37% in total over last year"
25,"Moving on to our data-centric businesses, DCG [Data Center Group] revenue grew 7% in Q3 and remains on track for high single-digit growth for the year"
26,"We saw strong cloud growth, outgrew the comm service provider end market and, while the enterprise decline moderated sequentially, we still see workloads moving to the cloud"
27,Cloud and comm service provider revenue combined is nearly 60% of DCG revenue now
28,"In less than three months, we've had more than 200 Xeon scalable OEM systems begin production shipments, and our customers across all of our segments are beginning deployments that will continue to ramp in Q4 and through 2018."
29,"In our Internet of Things business, revenue was up 23%, with strength across the retail, industrial, and video segments"
30,"We also continue to build momentum in the vehicle infotainment market, winning designs from our competitors at leading automakers"
31,"Early in the quarter, we closed the Mobileye transaction a full four months ahead of schedule"
32,"So far this year, Mobileye has won 14 ADAS [Advanced Driver Assistance Systems] designs across 14 automakers, a pace well ahead of the 12 wins they recorded all of last year"
33,"These designs provide for typical features like automated emergency braking, lane keeping, and adaptive cruise control"
34,But several also include next-step functionality like highway autonomous driving
35,"We're also winning marquee designs for Level 3 and higher levels of autonomy, including our strategic partnership with BMW and Fiat Chrysler"
36,"Most recently, we announced that Waymo's newest vehicles, the self-driving Chrysler Pacifica Hybrid minivans, feature Intel-based technologies for sensor processing, general compute, and connectivity"
37,"With 3 million miles of real-world driving, Waymo cars with Intel technology inside have already processed more self-driving car miles than any other autonomous fleet on the U.S"
38,roads
39,"Intel and Mobileye provide the auto industry with unmatched product breadth, the architectural flexibility to support open and closed implementations, and technology leadership"
40,Our progress in just a few short months illustrates the benefits of our combination
41,"And together, we can deliver the promise of autonomous driving in a safer, collision-free future"
42,Let's move on now to memory and FPGAs
43,"Our memory business grew 37% over last year and operating margin improved significantly, as Fab 68, our Dalian factory, continued to beat both its ramp rate and yield goal"
44,Fab 68 accounted for more than half of our supply in a quarter where more than 70% of the total bits were 3D NAND
45,Our memory innovation and technology leadership is having an impact
46,We shipped the industry's first 64-layer data center SSDs and have a strong Optane design win pipeline
47,"That leadership technology has also resulted in strong customer interest in long-term supply agreements, and we've already signed two such agreements"
48,"Bob will share more about our approach, but this is an important step that will mitigate the short-term cash flow impact of ramping our memory capacity"
49,"And finally, in our FPGA business, revenue was up 10% over last year, with growth in the data center, embedded, and automotive segments, where we're ramping designs like the Level 3 autonomous 2018"
50,Audi A8 and DENSO's stereo vision system
51,Strength in these segments was partially offset by continued weakness in comms infrastructure
52,"Our design win revenue value was up more than 10% in the third quarter, the highest level in more than three years"
53,This business is central to our success in artificial intelligence
54,"In Q3, Microsoft announced that it would use our 14-nanometer Stratix 10 FPGAs for its accelerated deep learning platform that's code named Project Brainwave"
55,"And as part of a broadening engagement between our companies, Alibaba is using Intel FPGAs to power the acceleration of the service of Alibaba Cloud"
56,We've made tremendous progress in AI and advanced computing technologies over the last few months
57,"In addition to our FPGAs and autonomous driving wins, we launched the Movidius Myriad X, the world's first vision processing unit with a dedicated neural compute engine to deliver artificial intelligence capabilities to the edge in a low-power, high-performance package"
58,"We also achieved new research milestones, as Intel scientists pursue exciting emerging forms of compute"
59,"We delivered a 17-qubit superconducting test chip for quantum computing to our research partner, QuTech"
60,And we'll follow that up with a 49-qubit test chip by the end of the year
61,"We also unveiled the Loihi, a self-learning test chip that mimics the brain's basic mechanics and makes machine learning faster and more efficient"
62,"Later this quarter, we'll ship the Nervana neural network processor, the industry's first commercially available processor of its kind"
